"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"CA","B2",31.03,1702,3,17,1604,"Agency 2"
"CA","B2",6.8,303,0,3,302,"Agency 3"
"CA","B2",6.66,535,0,4,499,"Agency 7"
"CA","B2",12.3,494,1,6,482,"Agency 3"
"CA","B2",23.62,1336,1,9,1247,"Agency 2"
"CA","B2",25.01,1151,2,6,1131,"Agency 3"
"CA","B2",30.66,2426,3,21,2342,"Agency 3"
"CA","B2",47.3,1424,1,12,1277,"Agency 2"
"CA","B2",65.38,3881,4,31,3703,"Agency 2"
"CA","B2",40.69,1307,1,10,1198,"Agency 2"
"CA","B2",24.18,955,1,12,899,"Agency 3"
"CA","B2",84.19,2592,0,14,2149,"Agency 7"
"CA","B2",12.6,1033,3,7,1016,"Agency 3"
"CA","B2",41.45,1206,0,14,1105,"Agency 2"
"CA","B2",10.25,376,1,2,361,"Agency 3"
"CA","B2",0,0,0,0,0,"Agency 3"
"CA","B2",1.97,742,0,0,723,"Agency 3"
"CA","B2",2,394,0,0,363,"Agency 3"
"CA","B2",2.3,569,0,0,545,"Agency 3"
"CA","B2",7.09,311,0,5,296,"Agency 2"
"CA","B2",52.56,1807,1,20,1592,"Agency 7"
"CA","B2",6.35,497,0,6,467,"Agency 7"
"CA","B2",2,563,0,0,557,"Agency 3"
"CA","B2",11.49,213,0,0,202,"Agency 3"
"CA","B2",14.89,587,0,10,509,"Agency 2"
"CA","B2",48.1,2479,1,15,2304,"Agency 2"
"CA","B2",9.07,595,0,10,559,"Agency 7"
"CA","B2",40.44,2116,3,12,1815,"Agency 2"
"CA","B2",28.67,672,0,8,625,"Agency 3"
"CA","B2",36.41,1228,1,14,1083,"Agency 2"
"CA","B2",53.44,1733,2,17,1519,"Agency 7"
"CA","B2",6.84,283,0,2,277,"Agency 2"
"CA","B2",32.01,1326,0,7,1285,"Agency 3"
"CA","B2",37.33,3097,1,29,3016,"Agency 3"
"CA","B2",6.08,514,0,5,454,"Agency 7"
"CA","B2",1.95,430,0,1,424,"Agency 3"
"CA","B2",7.42,265,1,2,255,"Agency 2"
"CA","B2",24.76,1530,3,12,1482,"Agency 2"
"CA","B2",36.67,1159,0,5,1129,"Agency 3"
