"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"CA","B3",48.97,2155,1,24,2054,"Agency 2"
"MI","B3",14.45,520,2,7,510,"Agency 3"
"NY","B3",39.46,1968,1,16,1931,"Agency 2"
"NJ","B3",37.82,1742,1,7,1626,"Agency 2"
"MI","B3",34.9,1432,0,5,1384,"Agency 3"
"TX","B3",28.53,1271,3,8,1167,"Agency 4"
"NE","B3",72.62,4384,3,26,4109,"Agency 2"
"OH","B3",24.04,1755,1,6,1630,"Agency 2"
"CT","B3",29.53,764,0,4,640,"Agency 6"
"CA","B3",15.05,794,0,7,778,"Agency 3"
"NC","B3",55.5,3469,7,18,3391,"Agency 3"
"CA","B3",29.79,1200,3,22,1137,"Agency 2"
"FL","B3",29.01,1891,3,8,1845,"Agency 3"
"CA","B3",2.89,176,0,1,169,"Agency 3"
"CA","B3",21.78,1453,1,10,1384,"Agency 3"
"FL","B3",46.79,2190,4,24,2113,"Agency 8"
"CA","B3",48.46,2589,2,24,2415,"Agency 2"
"CA","B3",38.36,3526,6,35,3428,"Agency 3"
"MD","B3",36.62,1363,2,26,1284,"Agency 8"
"CA","B3",48.18,1868,0,12,1757,"Agency 2"
"FL","B3",15.67,852,1,18,815,"Agency 2"
"CA","B3",12.3,364,1,3,355,"Agency 3"
"TX","B3",8.57,410,0,1,400,"Agency 4"
"MI","B3",31.53,2182,2,4,2049,"Agency 4"
"IL","B3",154.65,7802,2,38,7333,"Agency 2"
"GA","B3",36.96,1731,2,13,1682,"Agency 8"
"TX","B3",20.25,1019,0,11,976,"Agency 2"
"OK","B3",32,1709,2,21,1621,"Agency 2"
"CA","B3",22.14,1031,2,5,1003,"Agency 3"
"GA","B3",43.18,1840,1,9,1783,"Agency 8"
"TX","B3",94.73,3712,3,10,3470,"Agency 3"
"GA","B3",37.56,1293,2,11,1246,"Agency 3"
"NY","B3",0,0,0,0,0,"Agency 3"
"WA","B3",0,0,0,0,0,"Agency 3"
"TX","B3",12.86,350,0,0,323,"Agency 4"
"GA","B3",24.37,1110,0,11,1037,"Agency 2"
"TN","B3",46.89,1771,0,16,1667,"Agency 2"
"TN","B3",47.85,4002,3,10,3827,"Agency 4"
"OH","B3",31.57,1794,0,17,1674,"Agency 2"
"GA","B3",59.51,3063,1,7,2955,"Agency 8"
"TX","B3",0,0,0,0,0,"Agency 3"
"CA","B3",16.11,636,0,9,581,"Agency 2"
"CT","B3",51.01,1837,0,6,1730,"Agency 3"
"WA","B3",0,0,0,0,0,"Agency 3"
"NC","B3",27.87,1422,0,19,1316,"Agency 3"
"MI","B3",0,0,0,0,0,"Agency 3"
"CA","B3",36.51,1158,1,24,1133,"Agency 8"
"MA","B3",23.1,1480,5,10,1439,"Agency 3"
"CA","B3",54.58,2475,1,32,2399,"Agency 8"
"VA","B3",37.24,1871,0,30,1818,"Agency 8"
"MO","B3",63.06,3179,7,67,2978,"Agency 8"
"NY","B3",43.11,1701,6,42,1651,"Agency 2"
"CA","B3",50.49,1444,0,23,1309,"Agency 8"
"CO","B3",32.57,1554,4,25,1229,"Agency 6"
"CA","B3",61.23,3441,7,37,3415,"Agency 3"
"TX","B3",59.64,3539,1,9,3323,"Agency 3"
"MD","B3",32.96,1986,2,8,1853,"Agency 8"
"NY","B3",66.14,3399,3,23,3031,"Agency 2"
"TN","B3",0,0,0,0,0,"Agency 4"
"CA","B3",0,0,0,0,0,"Agency 3"
"MA","B3",14.53,781,0,5,745,"Agency 3"
"FL","B3",30.93,1907,2,8,1870,"Agency 3"
"CA","B3",74.62,2579,0,5,2424,"Agency 3"
"CO","B3",10.28,281,1,4,272,"Agency 3"
"CA","B3",51.27,1154,3,23,1051,"Agency 4"
"SC","B3",31.69,1253,0,20,1202,"Agency 2"
"TX","B3",34.47,1975,1,6,1779,"Agency 2"
"VA","B3",46.12,2192,1,10,2116,"Agency 3"
"TX","B3",32.12,2307,3,18,2148,"Agency 2"
"VA","B3",11.59,568,0,5,538,"Agency 3"
"FL","B3",18.05,624,0,2,601,"Agency 3"
"OH","B3",24.21,1162,0,5,1087,"Agency 2"
"CA","B3",10.99,828,0,11,816,"Agency 3"
"TX","B3",15.25,644,1,1,591,"Agency 4"
"WA","B3",23.71,767,0,5,741,"Agency 3"
"CA","B3",32.28,1351,1,13,1261,"Agency 2"
"TX","B3",0,0,0,0,0,"Agency 4"
"TX","B3",23.08,594,0,7,566,"Agency 8"
"CA","B3",50.14,2122,3,17,2011,"Agency 2"
"DC","B3",35.47,1541,4,9,1514,"Agency 8"
"NC","B3",27.81,1490,1,7,1445,"Agency 3"
"MI","B3",15.15,665,1,5,634,"Agency 3"
"CA","B3",20.02,553,1,6,534,"Agency 3"
"FL","B3",74.36,2848,8,57,2733,"Agency 8"
"VA","B3",23.83,917,0,4,879,"Agency 3"
"GA","B3",12.52,477,0,2,457,"Agency 4"
"TX","B3",31.94,1817,0,7,1652,"Agency 2"
"VA","B3",24.49,1480,3,5,1404,"Agency 3"
"MA","B3",39.21,1720,4,16,1640,"Agency 3"
"VA","B3",23.51,1080,2,6,1007,"Agency 3"
"CA","B3",22.16,1226,0,5,1174,"Agency 3"
"TN","B3",13.23,795,0,2,587,"Agency 8"
"TX","B3",32.26,966,0,12,919,"Agency 3"
"MO","B3",64.26,2881,5,18,2758,"Agency 8"
"GA","B3",26.32,859,1,2,825,"Agency 4"
"OH","B3",31.76,1475,0,8,1378,"Agency 2"
"NY","B3",65.25,3101,2,26,2575,"Agency 2"
"VA","B3",0,0,0,0,0,"Agency 3"
"GA","B3",48.7,2514,1,7,2398,"Agency 8"
"NC","B3",0,0,0,0,0,"Agency 3"
"OK","B3",31.25,1353,2,14,1215,"Agency 2"
"MI","B3",0,0,0,0,0,"Agency 3"
"TX","B3",31.26,1626,1,19,1531,"Agency 3"
"FL","B3",30.97,1490,3,9,1421,"Agency 8"
"OK","B3",31.97,2004,0,15,1828,"Agency 2"
"CA","B3",75.63,5292,3,15,5209,"Agency 3"
