,spend,Impressions,leads,link_clicks,reach,Agency Tiers
771,32.14,1828,1,27,1679,
772,51.64,2401,1,15,2239,
773,31.46,1314,0,7,1257,
774,30.94,1654,0,9,1551,
775,32.1,1769,1,17,1655,
776,63.43,1974,1,22,1805,
777,50.02,1889,0,10,1788,
778,29.61,1793,1,16,1710,
779,5.91,295,0,1,288,
780,64.41,3034,1,13,2796,
781,44.95,2517,1,13,2428,
782,55.31,2426,1,22,2088,
783,66.03,2797,1,22,2667,
784,41.29,2505,1,23,2278,
785,39.73,2258,1,20,2018,
786,16.17,818,1,19,777,
787,15.87,628,1,6,591,
788,64.73,2252,0,9,1905,
789,50.19,2663,1,12,2445,
790,71.22,2622,1,28,2241,
791,65.28,2829,1,36,2551,
792,32.63,1319,1,10,1243,
793,31.43,927,1,4,858,
794,17.99,796,0,2,726,
795,40.17,1332,1,12,1246,
796,48.93,2656,0,12,2506,
797,16.15,987,1,15,941,
798,49.67,2768,1,32,2409,
799,33.25,1867,1,12,1703,
800,31.52,1657,1,11,1551,
801,63.66,2546,0,15,2328,
802,48.52,2284,1,67,2076,
803,24.0,921,1,5,848,
804,41.1,1203,1,7,1085,
805,41.15,1706,1,18,1540,
806,65.63,3575,1,34,3386,
807,31.86,1231,1,8,1189,
808,80.74,3345,1,26,3051,
809,32.3,1788,1,18,1691,
810,31.0,1306,1,16,1162,
811,32.03,2080,1,13,1946,
812,7.01,237,0,0,229,
813,22.97,1301,0,13,1253,
814,24.84,1211,1,11,1147,
815,49.68,2933,1,19,2764,
816,31.09,1455,0,9,1345,
817,64.61,2833,1,22,2619,
818,31.91,2348,1,19,2214,
819,37.75,1142,1,10,1061,
820,49.79,3377,1,41,3189,
821,41.83,1660,1,17,1535,
822,65.05,2197,0,13,2055,
823,15.75,857,1,7,803,
824,17.66,1473,1,45,1341,
825,65.53,2403,1,17,2238,
826,15.45,751,0,2,722,
827,49.7,1778,1,9,1593,
828,31.46,1323,1,7,1252,
829,65.43,2643,1,27,2456,
830,49.37,2456,1,11,2317,
831,31.79,1089,0,7,977,
832,49.84,2400,0,12,2273,
