"state","brand","spend","impressions","leads","link_clicks","reach","agency"
"CA","B2",48.71,2497,0,16,2334,"Agency 2"
"CA","B2",11.21,421,1,4,406,"Agency 3"
"TX","B2",8.91,1668,0,4,1344,"Agency 3"
"TX","B2",8.42,532,0,1,490,"Agency 3"
"CA","B2",31.1,1205,3,9,1138,"Agency 3"
"UT","B2",0,0,0,0,0,"Agency 4"
"FL","B2",16.04,741,1,5,716,"Agency 2"
"UT","B2",15.63,554,0,2,532,"Agency 2"
"IL","B2",32.17,1906,5,20,1796,"Agency 2"
"MO","B2",9.96,623,1,6,607,"Agency 3"
"CA","B2",62.89,4321,4,27,4146,"Agency 2"
"WA","B2",50.1,2049,3,9,1919,"Agency 2"
"OR","B2",23.72,847,0,6,714,"Agency 5"
"NJ","B2",35.41,1545,0,6,1511,"Agency 3"
"MN","B2",33.35,2022,1,13,1930,"Agency 9"
"MI","B2",47.44,1317,0,7,1171,"Agency 2"
"IN","B2",18.56,1163,1,10,1081,"Agency 5"
"CA","B2",16.19,565,5,12,541,"Agency 2"
"CA","B2",97.16,3462,0,15,3316,"Agency 2"
"IL","B2",0.28,9,0,0,9,"Agency 5"
"CA","B2",31.78,1941,2,5,1849,"Agency 2"
"NJ","B2",64.21,1733,3,17,1506,"Agency 7"
"FL","B2",15.58,809,0,14,758,"Agency 2"
"NJ","B2",81.49,2875,6,27,2475,"Agency 2"
"CA","B2",2.01,271,0,0,267,"Agency 3"
"IN","B2",0,0,0,0,0,"Agency 5"
"IL","B2",32.74,1373,2,13,1317,"Agency 2"
"TX","B2",19.08,1056,0,9,1001,"Agency 2"
"NC","B2",22.98,753,0,5,736,"Agency 3"
"OK","B2",31.15,988,0,4,778,"Agency 2"
"TN","B2",0,0,0,0,0,"Agency 3"
"CA","B2",2.85,183,0,4,181,"Agency 3"
"MA","B2",24.68,1110,3,24,1034,"Agency 3"
"MO","B2",8.81,341,1,4,328,"Agency 3"
"NC","B2",49.74,1997,0,13,1854,"Agency 2"
"TX","B2",15.64,753,0,6,732,"Agency 2"
"CA","B2",66.7,1747,0,10,1586,"Agency 2"
"AZ","B2",40.93,1800,2,16,1641,"Agency 5"
"UT","B2",10.19,457,0,0,441,"Agency 4"
"CA","B2",37.39,1536,1,16,1394,"Agency 2"
"TN","B2",1.98,164,0,2,148,"Agency 3"
"TX","B2",8.75,931,0,4,730,"Agency 3"
"CO","B2",37.38,1552,2,18,1482,"Agency 3"
"WA","B2",49.51,2625,0,12,2482,"Agency 2"
"TX","B2",10.74,528,0,1,499,"Agency 3"
"CO","B2",0,0,0,0,0,"Agency 3"
"CA","B2",40.45,1651,1,17,1488,"Agency 2"
"CA","B2",0,0,0,0,0,"Agency 3"
"TX","B2",38.54,1873,5,16,1788,"Agency 5"
"FL","B2",11.5,480,1,2,420,"Agency 3"
"CA","B2",16.38,688,3,8,666,"Agency 3"
"MO","B2",8.64,444,0,4,426,"Agency 3"
"CA","B2",32.15,1112,0,4,1039,"Agency 2"
"FL","B2",20.32,646,1,2,628,"Agency 5"
"CA","B2",13.18,518,2,9,507,"Agency 3"
"WA","B2",47.73,1824,6,14,1686,"Agency 2"
"MD","B2",26.37,1292,2,10,1260,"Agency 3"
"WA","B2",45.64,1290,1,9,1206,"Agency 2"
"IL","B2",8.38,1506,0,2,1309,"Agency 5"
"IL","B2",31.25,1152,1,7,1015,"Agency 2"
"FL","B2",15.48,1180,0,2,1136,"Agency 2"
"FL","B2",63.3,3318,9,27,3189,"Agency 2"
"FL","B2",26.42,1975,3,8,1920,"Agency 3"
"CA","B2",2.06,682,0,0,659,"Agency 3"
"IL","B2",8.49,1562,0,0,1349,"Agency 5"
"IL","B2",31.17,1408,0,3,1333,"Agency 5"
"MO","B2",21.19,771,0,2,740,"Agency 3"
"CA","B2",59.85,2639,1,38,2446,"Agency 2"
"MO","B2",40.3,1883,1,10,1813,"Agency 3"
"CO","B2",64.3,2672,2,22,2447,"Agency 2"
"CO","B2",16.07,1123,0,3,1095,"Agency 3"
"CO","B2",31.91,1555,4,13,1511,"Agency 3"
"FL","B2",48.02,2485,4,19,2383,"Agency 2"
"CA","B2",21.8,810,7,18,765,"Agency 7"
"CA","B2",7.12,473,0,2,448,"Agency 3"
"CA","B2",23.18,1258,0,6,1236,"Agency 3"
"CA","B2",65.64,2539,2,17,2301,"Agency 2"
"NV","B2",32.39,1427,1,10,1362,"Agency 2"
"MN","B2",6.08,292,0,1,286,"Agency 3"
"MI","B2",22.09,1114,1,4,1076,"Agency 3"
"FL","B2",40.43,2538,7,27,2333,"Agency 2"
"WA","B2",48.43,1637,0,12,1518,"Agency 2"
"GA","B2",33.27,1426,0,3,1349,"Agency 9"
"CA","B2",63.98,2488,2,13,2303,"Agency 2"
"VA","B2",32.35,1227,1,4,1050,"Agency 2"
"FL","B2",54.78,2217,1,13,2091,"Agency 3"
"CA","B2",2.03,183,0,0,180,"Agency 3"
"TN","B2",34.77,1359,1,13,1294,"Agency 3"
"PA","B2",36.62,2093,3,20,1991,"Agency 2"
"CA","B2",52.36,1964,2,24,1784,"Agency 7"
"CA","B2",0,0,0,0,0,"Agency 3"
"GA","B2",31.87,1551,3,6,1485,"Agency 9"
"CA","B2",24.4,568,3,9,525,"Agency 3"
"UT","B2",19.3,1673,2,9,1607,"Agency 4"
"FL","B2",15.9,987,0,8,958,"Agency 2"
"FL","B2",71.26,3210,1,16,3095,"Agency 2"
"CA","B2",118.03,4355,3,31,3913,"Agency 2"
"TX","B2",67.8,2000,3,12,1863,"Agency 3"
"CA","B2",22.26,559,3,12,533,"Agency 3"
"OR","B2",49.66,2364,4,14,2218,"Agency 2"
"OH","B2",16.58,986,2,21,922,"Agency 2"
"CA","B2",65.03,2934,3,19,2795,"Agency 2"
"MN","B2",18.05,715,0,4,680,"Agency 3"
"CO","B2",0,0,0,0,0,"Agency 3"
"IL","B2",8.43,1589,0,6,1337,"Agency 5"
"CA","B2",22.4,1145,1,9,1106,"Agency 3"
"NJ","B2",61.96,2716,1,15,2420,"Agency 7"
"OH","B2",22.49,805,0,3,755,"Agency 3"
"IL","B2",32.43,1448,4,15,1381,"Agency 2"
"IL","B2",0,0,0,0,0,"Agency 3"
"FL","B2",31.9,1363,3,7,1260,"Agency 3"
"NJ","B2",57.35,3140,2,16,2725,"Agency 7"
"TX","B2",5.08,1602,0,0,1498,"Agency 3"
"MI","B2",44.33,2977,6,26,2601,"Agency 2"
"MO","B2",0,0,0,0,0,"Agency 3"
"CA","B2",31.74,1544,1,6,1427,"Agency 2"
"CA","B2",2.08,294,0,1,280,"Agency 3"
"UT","B2",156.82,7463,3,44,6923,"Agency 4"
"CA","B2",33.51,1262,1,6,1210,"Agency 3"
"CA","B2",14.23,792,0,10,785,"Agency 3"
"VT","B2",32.24,1387,0,10,1278,"Agency 5"
"VA","B2",40.27,2384,5,26,2188,"Agency 2"
"CA","B2",32.19,2254,1,9,2099,"Agency 2"
"CO","B2",14.99,945,0,5,918,"Agency 3"
"TX","B2",9.68,554,1,6,532,"Agency 3"
"CA","B2",1.99,241,0,1,237,"Agency 3"
"UT","B2",0,0,0,0,0,"Agency 4"
"CA","B2",64.01,2631,1,12,2404,"Agency 2"
"CA","B2",65.49,2948,1,15,2805,"Agency 2"
"CA","B2",32.36,1479,9,27,1443,"Agency 2"
"CA","B2",22.49,953,0,1,920,"Agency 3"
"OR","B2",49.46,2335,1,18,2210,"Agency 2"
"FL","B2",54.29,3377,4,26,3209,"Agency 2"
"IA","B2",58.06,2894,3,20,2767,"Agency 3"
"CA","B2",33.57,2135,5,16,2004,"Agency 3"
"IL","B2",15.93,1128,2,8,1107,"Agency 9"
"MO","B2",21.44,1051,1,12,1006,"Agency 3"
"FL","B2",15.74,960,3,8,929,"Agency 2"
"TX","B2",50.58,1712,4,20,1646,"Agency 2"
"UT","B2",0,0,0,0,0,"Agency 4"
"FL","B2",0,0,0,0,0,"Agency 3"
"CA","B2",24.6,1313,1,6,1273,"Agency 2"
"NV","B2",32.6,1985,6,26,1875,"Agency 2"
"FL","B2",47.7,3752,2,15,3622,"Agency 3"
"CA","B2",43.26,1243,1,16,1176,"Agency 2"
"OR","B2",49.33,3146,4,21,2848,"Agency 5"
"CO","B2",28.12,1321,5,20,1273,"Agency 3"
"AZ","B2",31.8,932,1,5,863,"Agency 3"
"OK","B2",48.26,2460,0,13,2338,"Agency 2"
