,state,spend,Impressions,leads,link_clicks,reach,Agency Tiers
29750,FL,50.57,1733,1,19,1595,
29751,TX,77.89,3150,1,59,3037,
29752,TX,34.11,1658,1,15,1601,
29753,VA,24.91,1006,1,11,941,
29754,VA,0.0,0,0,0,0,
29755,VA,0.0,0,0,0,0,
29756,MN,8.12,474,0,3,460,
29757,MN,8.25,507,1,2,491,
29758,CA,26.64,1167,1,5,1107,
29759,CA,25.84,988,1,7,933,
29760,NY,10.13,474,1,5,462,
29761,NY,0.0,0,0,0,0,
29762,NY,11.63,512,1,3,489,
29763,CA,41.52,2957,1,6,2860,
29764,TX,0.0,0,0,0,0,
29765,TX,0.0,0,0,0,0,
29766,TX,50.07,2945,1,23,2811,
29767,CA,41.81,1721,1,13,1644,
29768,NC,29.99,1415,1,11,1340,
29769,CT,52.27,2417,1,62,2152,
29770,CO,50.53,1456,0,7,1407,
29771,WA,0.0,0,0,0,0,
29772,VA,23.24,1411,1,4,1372,
29773,VA,23.71,811,1,16,776,
29774,CO,16.5,577,1,10,541,
29775,CO,16.24,899,1,5,873,
29776,VA,32.75,1715,1,3,1513,
29777,CA,32.29,1225,0,4,1133,
29778,CA,58.17,1429,1,6,1207,
29779,CA,73.45,2651,1,7,2462,
29780,CT,59.62,2465,1,14,2370,
29781,CT,0.0,0,0,0,0,
29782,NJ,33.49,1790,1,9,1676,
29783,CO,25.62,727,0,6,700,
29784,CO,24.87,685,1,4,656,
29785,CO,48.38,1290,0,4,1220,
29786,FL,46.44,1493,1,32,1390,
29787,TX,54.29,2256,1,45,2054,
29788,CA,36.04,2383,1,19,2286,
29789,WA,0.0,0,0,0,0,
29790,NJ,36.39,2031,1,14,1871,
29791,CO,22.64,726,1,7,687,
29792,CO,22.89,770,1,12,744,
29793,TX,43.32,2112,1,12,1974,
29794,TX,0.0,0,0,0,0,
29795,CA,35.68,1427,1,9,1359,
29796,VA,16.25,519,1,5,475,
29797,VA,16.04,768,0,2,720,
29798,TX,31.73,1381,1,10,1329,
29799,CT,48.02,2654,1,51,2407,
29800,MI,0.0,0,0,0,0,
29801,MI,27.55,886,1,13,834,
29802,MI,23.41,883,0,8,845,
29803,CT,51.68,2315,1,22,2203,
29804,CT,0.0,0,0,0,0,
29805,NC,28.69,1265,1,18,1213,
29806,SD,0.0,0,0,0,0,
29807,SD,46.53,2293,1,27,2052,
29808,MN,7.85,482,1,6,464,
29809,MN,7.65,457,0,1,445,
29810,VA,22.3,1265,1,8,1212,
29811,VA,21.71,824,1,7,784,
29812,CO,15.03,861,0,5,839,
29813,CO,14.3,485,0,4,453,
29814,CA,24.36,808,1,4,759,
29815,CA,24.24,985,1,7,935,
29816,VA,22.71,1117,1,10,1066,
29817,CA,66.47,2322,1,6,2175,
29818,CA,51.34,1646,0,4,1413,
29819,CA,29.95,1303,0,1,1232,
29820,NY,13.31,593,0,3,583,
29821,NY,12.04,590,0,1,584,
29822,VA,30.49,1964,1,7,1710,
29823,VA,0.0,0,0,0,0,
29824,FL,48.66,1753,1,22,1664,
29825,CA,25.66,999,1,6,944,
29826,CA,25.56,1051,0,4,981,
29827,TX,31.66,1312,1,15,1261,
29828,CT,49.63,2264,1,49,1951,
29829,FL,47.79,1962,1,21,1845,
29830,VA,0.0,0,0,0,0,
29831,VA,23.94,1063,1,6,986,
29832,CA,36.63,2353,1,11,2236,
29833,CA,1.59,65,1,2,63,
29834,TX,72.62,3018,1,49,2594,
29835,NC,28.25,1295,1,13,1232,
29836,CA,31.57,1414,0,2,1321,
29837,CA,54.41,1901,1,6,1598,
29838,CA,69.38,2386,1,10,2227,
29839,NJ,36.14,1941,1,11,1763,
29840,FL,46.33,1794,1,14,1685,
29841,CO,24.49,797,1,6,744,
29842,CO,23.86,760,0,3,723,
29843,NY,0.0,0,0,0,0,
29844,NY,0.0,0,0,0,0,
29845,CA,37.93,1821,1,11,1715,
29846,CA,1.02,26,0,0,26,
29847,CT,0.0,0,0,0,0,
29848,CT,51.57,2346,1,25,2209,
29849,MN,7.87,521,0,6,502,
29850,MN,7.75,477,0,2,459,
29851,VA,0.0,0,0,0,0,
29852,VA,31.12,1935,1,9,1607,
29853,TX,30.77,1536,1,15,1452,
