,state,brand,spend,Impressions,leads,link_clicks,reach,agency,Agency Tiers
44,CA,B2,32.19,2254,1,9,2099,Agency 2,4
45,CA,B2,64.01,2631,1,12,2404,Agency 2,4
46,CA,B2,65.49,2948,1,15,2805,Agency 2,4
47,CA,B2,32.36,1479,1,27,1443,Agency 2,4
48,CA,B2,24.6,1313,1,6,1273,Agency 2,4
49,CA,B2,43.26,1243,1,16,1176,Agency 2,4
50,CA,B2,25.1,1182,1,14,1090,Agency 2,4
51,CA,B2,31.16,1286,1,26,1229,Agency 2,4
52,CA,B2,33.21,2297,1,8,2217,Agency 2,4
53,CA,B2,64.46,3089,1,8,2855,Agency 2,4
54,CA,B2,50.67,1949,1,13,1832,Agency 2,4
55,CA,B2,97.76,3842,1,17,3684,Agency 2,4
56,CA,B2,41.25,1369,1,16,1242,Agency 2,4
57,CA,B2,6.99,276,1,2,261,Agency 2,4
58,CA,B2,57.81,2239,1,19,2038,Agency 2,4
59,CA,B2,32.18,1038,1,6,991,Agency 2,4
